ave_cpu_allocate,ave_mem_allocate,ave_gpu_allocate,ave_gmem_allocate,idel_gpu_num,job_not_start_num,job_dealing_num,self.job_come_num,self.job_end_num
1.0208333333333333,1.2890625,1.0,0.0,0,26,9,100,65
1.7083333333333333,1.71875,1.0,0.0,0,22,12,100,66
1.7083333333333333,1.71875,1.0,0.0,0,22,12,100,66
1.5416666666666667,1.6015625,1.0,0.0,0,22,11,100,67
1.5416666666666667,1.6015625,1.0,0.0,0,22,11,100,67
1.5416666666666667,1.6015625,1.0,0.0,0,22,11,100,67
1.5416666666666667,1.6015625,1.0,0.0,0,22,11,100,67
1.4791666666666667,1.484375,1.0,0.0,0,22,10,100,68
1.4791666666666667,1.484375,1.0,0.0,0,22,10,100,68
1.4791666666666667,1.484375,1.0,0.0,0,22,10,100,68
1.7083333333333333,1.9140625,1.0,0.0,0,18,13,100,69
1.7083333333333333,1.9140625,1.0,0.0,0,18,13,100,69
1.7083333333333333,1.9140625,1.0,0.0,0,18,13,100,69
1.7083333333333333,1.9140625,1.0,0.0,0,18,13,100,69
1.7083333333333333,1.9140625,1.0,0.0,0,18,13,100,69
2.1041666666666665,2.265625,1.0,0.0,0,14,16,100,70
2.1041666666666665,2.265625,1.0,0.0,0,14,16,100,70
2.1041666666666665,2.265625,1.0,0.0,0,14,16,100,70
2.1041666666666665,2.265625,1.0,0.0,0,14,16,100,70
2.1041666666666665,2.265625,1.0,0.0,0,14,16,100,70
2.1041666666666665,2.265625,1.0,0.0,0,14,16,100,70
1.9166666666666667,2.03125,1.0,0.0,0,14,15,100,71
1.9166666666666667,2.03125,1.0,0.0,0,14,15,100,71
1.9166666666666667,2.03125,1.0,0.0,0,14,15,100,71
1.9166666666666667,2.03125,1.0,0.0,0,14,15,100,71
1.9166666666666667,2.03125,1.0,0.0,0,14,15,100,71
1.9166666666666667,2.03125,1.0,0.0,0,14,15,100,71
1.9166666666666667,2.03125,1.0,0.0,0,14,15,100,71
1.9166666666666667,2.03125,1.0,0.0,0,14,15,100,71
1.9166666666666667,2.03125,1.0,0.0,0,14,15,100,71
1.9166666666666667,2.03125,1.0,0.0,0,14,15,100,71
1.9166666666666667,2.03125,1.0,0.0,0,14,15,100,71
1.9166666666666667,2.03125,1.0,0.0,0,14,15,100,71
1.9166666666666667,2.03125,1.0,0.0,0,14,15,100,71
1.9166666666666667,2.03125,1.0,0.0,0,14,15,100,71
1.9166666666666667,2.03125,1.0,0.0,0,14,15,100,71
