cpu_util,mem_util,gpu_util0,gmem_util0,gpu_util1,gmem_util1,gpu_util2,gmem_util2,gpu_util3,gmem_util3
13.5,15.4,57,12.87,89,16.52,80,12.73,63,13.04
55.7,15.3,60,12.87,98,16.52,0,12.73,0,13.04
76.2,14.3,78,12.87,98,16.52,0,12.73,0,13.04
71.0,15.7,68,12.87,95,16.52,0,12.73,87,13.04
51.8,16.0,0,12.87,96,16.52,35,12.73,90,13.04
10.4,15.9,0,12.87,97,16.52,65,12.73,93,13.04
74.8,15.6,0,12.87,29,16.52,90,12.73,0,13.04
20.3,14.8,86,12.87,95,16.52,93,12.73,0,13.04
20.0,16.5,80,12.87,96,16.52,81,12.73,88,13.04
60.0,15.1,29,12.87,97,16.52,77,12.73,52,13.04
13.0,15.1,71,12.87,95,16.52,70,12.73,82,13.04
19.6,17.0,0,1.27,93,16.52,70,12.73,0,13.04
5.1,12.9,0,1.27,98,16.52,75,12.73,0,13.04
5.9,12.8,0,1.27,96,16.52,82,12.73,0,13.04
18.8,13.6,4,3.87,50,16.52,89,12.73,67,13.04
54.7,15.0,9,9.87,94,16.52,90,12.73,81,13.04
55.9,14.7,0,9.87,94,16.52,90,12.73,18,13.04
54.9,15.3,0,9.87,96,16.52,82,12.73,0,13.04
70.8,14.8,54,12.81,98,16.52,77,12.73,0,13.04
46.6,15.6,75,12.81,98,16.52,89,12.73,74,13.04
59.9,16.2,72,12.81,97,16.52,64,12.73,72,13.04
11.8,16.8,95,12.81,96,16.52,85,12.73,85,13.04
9.6,14.4,82,12.81,96,16.52,80,12.73,0,1.27
16.4,13.2,65,12.81,94,16.52,80,12.73,0,1.27
13.3,13.2,75,12.81,98,16.52,94,12.73,1,2.85
9.5,14.1,32,12.81,93,16.52,80,12.73,1,10.15
20.0,14.7,0,12.81,96,16.52,88,12.73,0,10.15
19.2,14.4,0,12.81,93,16.52,82,12.73,0,10.15
74.2,14.9,0,12.81,92,16.52,79,12.73,39,12.76
48.0,15.3,74,12.81,98,16.45,81,12.73,71,12.76
50.9,12.8,70,12.81,0,1.27,0,1.27,90,12.76
47.8,10.6,88,12.81,0,1.27,0,1.27,94,12.76
98.0,9.7,21,12.81,0,1.27,0,1.27,87,12.76
38.6,12.3,85,12.81,3,3.51,2,3.79,53,12.76
57.0,11.6,29,12.81,5,8.96,2,8.06,85,12.76
39.2,13.9,92,12.81,0,10.14,7,9.34,15,12.76
55.4,13.0,21,12.81,0,10.14,5,9.34,75,12.76
43.6,13.7,82,12.81,0,12.74,4,9.34,24,12.76
68.3,13.4,34,12.81,60,12.74,7,9.34,85,12.76
84.2,13.4,0,12.81,72,12.74,3,9.34,68,12.76
86.7,13.1,0,12.81,40,12.74,3,9.34,48,12.76
62.9,13.2,0,12.81,71,12.74,7,9.34,66,12.76
86.3,13.3,20,12.81,58,12.74,3,9.34,33,12.76
83.0,13.4,27,12.81,59,12.74,6,9.34,51,12.76
26.0,13.6,81,12.81,38,12.74,3,9.34,48,12.76
87.5,13.3,28,12.81,88,12.74,0,1.27,87,12.76
23.8,12.1,76,12.81,53,12.74,0,1.27,23,12.76
