cpu_util,mem_util,gpu_util0,gmem_util0,gpu_util1,gmem_util1,gpu_util2,gmem_util2
73.4,11.7,98,12.79,97,12.79,99,12.79
27.2,11.7,98,12.79,99,12.79,97,12.79
92.9,11.7,98,12.79,98,12.79,99,12.79
26.8,11.7,99,12.79,96,12.79,98,12.79
49.8,11.7,98,12.79,96,12.79,99,12.79
82.3,11.7,99,12.79,98,12.79,98,12.79
30.2,11.7,98,12.79,99,12.79,99,12.79
25.0,11.7,98,12.79,98,12.79,98,12.79
52.4,11.7,99,12.79,97,12.79,99,12.79
27.2,11.9,98,12.79,98,12.79,98,12.79
86.3,11.9,99,12.79,96,12.79,96,12.79
25.4,11.7,98,12.79,97,12.79,97,12.79
49.6,11.7,92,12.79,96,12.79,97,12.79
84.8,11.7,99,12.79,96,12.79,99,12.79
56.1,11.7,97,12.79,99,12.79,99,12.79
93.8,11.6,97,12.79,95,12.79,98,12.79
62.4,11.7,99,12.79,98,12.79,98,12.79
89.3,11.7,98,12.79,98,12.79,98,12.79
60.7,11.7,98,12.79,95,12.79,98,12.79
95.6,11.6,99,12.79,99,12.79,97,12.79
58.1,11.7,99,12.79,98,12.79,97,12.79
92.3,11.7,98,12.79,99,12.79,98,12.79
55.6,11.7,99,12.79,97,12.79,98,12.79
94.4,11.7,98,12.79,98,12.79,98,12.79
26.6,11.6,98,12.79,98,12.79,98,12.79
94.2,11.6,98,12.79,98,12.79,97,12.79
24.9,11.7,97,12.79,97,12.79,98,12.79
95.3,11.7,99,12.79,97,12.79,99,12.79
28.0,11.7,98,12.79,98,12.79,98,12.79
90.9,11.7,97,12.79,98,12.79,98,12.79
26.7,11.8,0,12.79,0,12.79,0,12.79
82.2,10.5,0,12.79,0,12.79,0,12.79
74.1,10.9,0,12.79,0,12.79,0,12.79
90.1,11.2,0,12.79,0,12.79,100,12.79
57.2,11.6,99,12.79,98,12.79,98,12.79
95.0,11.7,99,12.79,98,12.79,98,12.79
53.3,11.7,98,12.79,98,12.79,99,12.79
93.2,11.7,99,12.79,98,12.79,97,12.79
45.1,11.6,98,12.79,99,12.79,99,12.79
90.1,11.7,98,12.79,98,12.79,96,12.79
50.3,11.7,99,12.79,99,12.79,98,12.79
89.9,11.7,98,12.79,98,12.79,98,12.79
55.9,11.6,99,12.79,98,12.79,99,12.79
94.0,11.6,98,12.79,99,12.79,97,12.79
50.5,11.7,98,12.79,99,12.79,98,12.79
90.7,11.7,98,12.79,98,12.79,98,12.79
55.9,11.6,97,12.79,98,12.79,99,12.79
91.5,11.7,98,12.79,99,12.79,98,12.79
56.4,11.6,98,12.79,99,12.79,97,12.79
92.9,11.6,96,12.79,96,12.79,99,12.79
57.9,11.7,99,12.79,97,12.79,98,12.79
90.6,11.7,97,12.79,97,12.79,98,12.79
58.5,11.8,98,12.79,99,12.79,98,12.79
94.2,11.8,99,12.79,99,12.79,99,12.79
56.9,11.9,98,12.79,99,12.79,97,12.79
90.0,11.7,98,12.79,98,12.79,98,12.79
74.4,11.6,97,12.79,99,12.79,97,12.79
89.2,11.6,97,12.79,99,12.79,99,12.79
56.6,11.7,99,12.79,99,12.79,97,12.79
95.3,11.7,98,12.79,98,12.79,96,12.79
55.7,11.7,99,12.79,98,12.79,99,12.79
93.2,11.7,98,12.79,99,12.79,97,12.79
55.4,11.6,98,12.79,99,12.79,96,12.79
93.2,11.7,98,12.79,98,12.79,98,12.79
52.5,11.6,99,12.79,97,12.79,98,12.79
95.3,11.7,98,12.79,98,12.79,98,12.79
98.4,11.8,97,12.79,93,12.79,97,12.79
51.4,11.8,99,12.79,97,12.79,98,12.79
95.1,11.7,98,12.79,98,12.79,97,12.79
45.8,11.6,99,12.79,99,12.79,98,12.79
66.1,11.6,98,12.79,97,12.79,99,12.79
56.9,11.6,98,12.79,98,12.79,99,12.79
92.8,11.6,97,12.79,98,12.79,98,12.79
58.8,11.6,97,12.79,99,12.79,98,12.79
92.9,11.6,99,12.79,96,12.79,99,12.79
58.0,11.7,98,12.79,0,12.79,0,12.79
91.4,10.2,0,12.79,0,12.79,0,12.79
43.8,10.7,0,12.79,0,12.79,0,12.79
87.2,11.2,0,12.79,0,12.79,0,12.79
71.8,11.7,0,12.79,99,12.79,98,12.79
26.0,11.9,98,12.79,98,12.79,98,12.79
94.1,11.9,97,12.79,98,12.79,99,12.79
26.7,12.1,98,12.79,98,12.79,98,12.79
88.3,12.0,99,12.79,99,12.79,99,12.79
25.6,11.9,99,12.79,98,12.79,98,12.79
74.1,11.8,98,12.79,99,12.79,98,12.79
50.6,12.0,99,12.79,99,12.79,99,12.79
51.4,12.2,97,12.79,99,12.79,97,12.79
55.6,12.2,97,12.79,99,12.79,98,12.79
57.6,12.3,98,12.79,99,12.79,98,12.79
58.2,12.2,98,12.79,99,12.79,99,12.79
57.4,12.3,99,12.79,99,12.79,99,12.79
54.3,12.3,98,12.79,98,12.79,99,12.79
50.2,12.3,98,12.79,98,12.79,97,12.79
59.4,12.3,99,12.79,99,12.79,98,12.79
52.5,12.2,97,12.79,98,12.79,99,12.79
56.4,12.2,97,12.79,98,12.79,99,12.79
26.6,12.3,98,12.79,98,12.79,96,12.79
49.1,12.2,98,12.79,97,12.79,98,12.79
66.7,12.3,97,12.79,98,12.79,98,12.79
50.4,12.2,99,12.79,98,12.79,99,12.79
58.2,12.2,98,12.79,99,12.79,98,12.79
56.3,12.2,98,12.79,98,12.79,99,12.79
57.5,12.3,98,12.79,99,12.79,98,12.79
54.6,12.3,98,12.79,98,12.79,99,12.79
58.3,12.3,98,12.79,98,12.79,99,12.79
26.8,12.3,99,12.79,99,12.79,98,12.79
27.8,12.3,98,12.79,99,12.79,99,12.79
48.4,12.2,97,12.79,99,12.79,98,12.79
59.9,12.3,99,12.79,99,12.79,99,12.79
51.6,12.3,97,12.79,99,12.79,99,12.79
53.3,12.2,97,12.79,98,12.79,99,12.79
55.7,12.2,99,12.79,97,12.79,97,12.79
49.8,12.2,97,12.79,99,12.79,98,12.79
54.6,12.3,98,12.79,97,12.79,98,12.79
27.7,12.3,99,12.79,99,12.79,99,12.79
64.1,12.2,96,12.79,99,12.79,99,12.79
54.2,12.3,97,12.79,99,12.79,99,12.79
56.1,12.3,98,12.79,99,12.79,97,12.79
56.1,12.3,97,12.79,98,12.79,99,12.79
51.5,12.2,97,12.79,99,12.79,99,12.79
62.5,12.2,0,12.79,0,12.79,0,12.79
55.3,10.8,0,12.79,0,12.79,0,12.79
54.3,11.3,0,12.79,0,12.79,0,12.79
52.2,11.9,0,12.79,0,12.79,98,12.79
56.2,12.2,97,12.79,98,12.79,98,12.79
57.4,12.3,97,12.79,98,12.79,99,12.79
26.7,12.2,98,12.79,98,12.79,99,12.79
41.4,12.3,94,12.79,99,12.79,98,12.79
53.2,12.3,98,12.79,99,12.79,98,12.79
57.0,12.3,97,12.79,99,12.79,99,12.79
57.0,12.3,98,12.79,99,12.79,99,12.79
53.3,12.2,97,12.79,99,12.79,99,12.79
37.4,12.3,98,12.79,99,12.79,99,12.79
26.5,12.3,96,12.79,98,12.79,99,12.79
41.6,12.2,98,12.79,98,12.79,98,12.79
87.9,12.3,97,12.79,97,12.79,97,12.79
89.7,12.2,97,12.79,98,12.79,99,12.79
27.4,12.2,96,12.79,99,12.79,99,12.79
37.5,12.3,96,12.79,98,12.79,98,12.79
99.9,12.4,98,12.79,98,12.79,98,12.79
53.4,12.3,99,12.79,98,12.79,98,12.79
27.5,12.3,98,12.79,99,12.79,98,12.79
25.8,12.2,98,12.79,99,12.79,99,12.79
37.1,12.3,99,12.79,99,12.79,98,12.79
51.9,12.3,98,12.79,97,12.79,99,12.79
51.2,12.3,98,12.79,99,12.79,99,12.79
58.0,12.3,98,12.79,96,12.79,99,12.79
55.4,12.2,98,12.79,99,12.79,97,12.79
51.8,12.3,98,12.79,99,12.79,95,12.79
94.8,12.4,96,12.79,99,12.79,98,12.79
59.8,12.3,99,12.79,98,12.79,98,12.79
51.2,12.2,98,12.79,98,12.79,98,12.79
59.1,12.3,99,12.79,98,12.79,97,12.79
27.8,12.2,97,12.79,99,12.79,99,12.79
40.6,12.2,98,12.79,98,12.79,98,12.79
57.1,12.2,98,12.79,99,12.79,98,12.79
53.1,12.3,99,12.79,99,12.79,99,12.79
56.5,12.2,97,12.79,99,12.79,99,12.79
56.5,12.3,99,12.79,96,12.79,99,12.79
58.0,12.3,99,12.79,99,12.79,98,12.79
26.7,12.2,98,12.79,99,12.79,99,12.79
31.0,12.2,97,12.79,98,12.79,98,12.79
26.6,12.3,98,12.79,99,12.79,98,12.79
52.6,12.2,98,12.79,99,12.79,98,12.79
59.5,12.3,98,12.79,99,12.79,0,12.79
50.7,10.5,0,12.79,0,12.79,0,12.79
52.3,11.0,0,12.79,0,12.79,0,12.79
64.5,11.6,0,12.79,0,12.79,0,12.79
59.1,12.1,0,12.79,99,12.79,99,12.79
54.1,12.3,99,12.79,99,12.79,99,12.79
52.0,12.3,99,12.79,96,12.79,99,12.79
27.2,12.2,99,12.79,99,12.79,99,12.79
38.1,12.2,98,12.79,99,12.79,97,12.79
63.7,12.1,99,12.79,99,12.79,98,12.79
58.1,12.2,98,12.79,99,12.79,98,12.79
48.4,12.1,99,12.79,98,12.79,99,12.79
51.6,12.2,97,12.79,98,12.79,99,12.79
26.4,12.3,99,12.79,98,12.79,99,12.79
44.6,12.2,98,12.79,99,12.79,99,12.79
27.1,12.3,99,12.79,97,12.79,99,12.79
61.6,12.3,97,12.79,98,12.79,99,12.79
50.0,12.3,98,12.79,97,12.79,96,12.79
58.3,12.3,99,12.79,99,12.79,97,12.79
55.1,12.2,99,12.79,99,12.79,99,12.79
27.7,12.3,98,12.79,97,12.79,98,12.79
65.1,12.3,99,12.79,99,12.79,97,12.79
56.1,12.3,97,12.79,99,12.79,98,12.79
54.2,12.3,99,12.79,98,12.79,98,12.79
53.8,12.3,99,12.79,97,12.79,98,12.79
66.5,12.3,99,12.79,99,12.79,98,12.79
45.9,12.3,99,12.79,97,12.79,98,12.79
62.0,12.3,99,12.79,98,12.79,98,12.79
66.2,12.3,100,12.79,98,12.79,98,12.79
55.7,12.3,99,12.79,98,12.79,98,12.79
59.0,12.3,99,12.79,99,12.79,98,12.79
49.7,12.3,99,12.79,97,12.79,98,12.79
22.9,12.3,97,12.79,99,12.79,98,12.79
43.5,12.3,99,12.79,98,12.79,98,12.79
60.8,12.2,99,12.79,99,12.79,99,12.79
56.3,12.2,98,12.79,98,12.79,97,12.79
54.4,12.3,99,12.79,98,12.79,97,12.79
38.8,12.2,98,12.79,97,12.79,99,12.79
45.4,12.3,98,12.79,99,12.79,98,12.79
62.1,12.3,98,12.79,98,12.79,98,12.79
51.5,12.3,98,12.79,99,12.79,96,12.79
99.7,12.3,98,12.79,97,12.79,98,12.79
99.5,12.3,98,12.79,99,12.79,96,12.79
98.5,12.3,99,12.79,99,12.79,97,12.79
54.4,12.3,99,12.79,99,12.79,99,12.79
40.8,12.3,99,12.79,99,12.79,0,12.79
97.8,10.6,0,12.79,0,12.79,0,12.79
69.9,11.0,0,12.79,0,12.79,0,12.79
72.2,11.5,0,12.79,0,12.79,0,12.79
95.6,12.0,0,12.79,21,12.79,98,12.79
54.3,12.2,99,12.79,99,12.79,99,12.79
54.0,12.3,99,12.79,99,12.79,99,12.79
12.4,12.2,99,12.79,99,12.79,98,12.79
58.9,12.3,96,12.79,99,12.79,99,12.79
57.2,12.3,99,12.79,98,12.79,99,12.79
56.6,12.3,99,12.79,99,12.79,99,12.79
40.1,12.3,99,12.79,96,12.79,98,12.79
27.8,12.3,99,12.79,98,12.79,98,12.79
62.7,12.3,99,12.79,98,12.79,97,12.79
65.1,12.2,99,12.79,99,12.79,98,12.79
58.6,12.3,99,12.79,99,12.79,98,12.79
40.3,12.2,99,12.79,97,12.79,98,12.79
63.7,12.3,99,12.79,98,12.79,98,12.79
59.0,12.3,98,12.79,96,12.79,97,12.79
37.4,12.3,98,12.79,97,12.79,98,12.79
64.9,12.3,99,12.79,96,12.79,97,12.79
61.6,12.2,99,12.79,98,12.79,96,12.79
39.6,12.2,97,12.79,98,12.79,99,12.79
26.5,12.3,98,12.79,97,12.79,95,12.79
28.4,12.3,99,12.79,99,12.79,99,12.79
93.4,12.3,98,12.79,97,12.79,97,12.79
36.8,12.3,98,12.79,98,12.79,98,12.79
93.2,12.2,97,12.79,98,12.79,98,12.79
47.5,12.3,99,12.79,98,12.79,98,12.79
93.7,12.2,99,12.79,96,12.79,99,12.79
25.5,12.3,98,12.79,98,12.79,98,12.79
93.2,12.3,98,12.79,98,12.79,98,12.79
27.8,12.2,99,12.79,95,12.79,99,12.79
95.5,12.2,99,12.79,98,12.79,99,12.79
27.9,12.2,99,12.79,97,12.79,95,12.79
81.3,12.2,98,12.79,97,12.79,99,12.79
27.8,12.2,96,12.79,98,12.79,98,12.79
55.3,12.2,99,12.79,99,12.79,99,12.79
91.5,12.3,98,12.79,98,12.79,98,12.79
48.1,12.2,98,12.79,98,12.79,99,12.79
94.3,12.3,99,12.79,96,12.79,99,12.79
60.0,12.3,99,12.79,98,12.79,98,12.79
94.2,12.2,97,12.79,98,12.79,99,12.79
52.5,12.3,99,12.79,99,12.79,99,12.79
94.3,12.3,97,12.79,99,12.79,99,12.79
52.8,12.3,96,12.79,99,12.79,99,12.79
96.5,12.3,0,12.79,0,12.79,0,12.79
51.1,10.9,0,12.79,0,12.79,0,12.79
95.8,11.4,0,12.79,0,12.79,0,12.79
69.9,11.8,0,12.79,0,12.79,97,12.79
27.3,12.3,98,12.79,97,12.79,96,12.79
93.4,12.3,99,12.79,99,12.79,98,12.79
26.0,12.2,98,12.79,98,12.79,98,12.79
53.0,12.2,96,12.79,99,12.79,99,12.79
38.8,12.3,97,12.79,98,12.79,99,12.79
48.8,12.3,96,12.79,97,12.79,99,12.79
90.8,12.3,97,12.79,96,12.79,98,12.79
53.5,12.2,99,12.79,99,12.79,99,12.79
97.6,12.2,99,12.79,97,12.79,98,12.79
54.5,12.3,97,12.79,98,12.79,99,12.79
82.9,12.2,98,12.79,98,12.79,97,12.79
55.2,12.2,99,12.79,99,12.79,98,12.79
25.5,12.3,98,12.79,98,12.79,99,12.79
55.9,12.2,97,12.79,97,12.79,99,12.79
22.6,12.3,95,12.79,97,12.79,97,12.79
56.7,12.3,99,12.79,98,12.79,99,12.79
92.5,12.2,97,12.79,97,12.79,99,12.79
62.1,12.3,99,12.79,96,12.79,98,12.79
93.5,12.3,98,12.79,95,12.79,91,12.79
99.1,12.3,77,12.79,95,12.79,98,12.79
99.4,12.4,98,12.79,97,12.79,98,12.79
97.1,12.4,98,12.79,98,12.79,99,12.79
26.6,12.3,98,12.79,99,12.79,99,12.79
34.8,12.3,97,12.79,99,12.79,98,12.79
95.4,12.3,96,12.79,99,12.79,97,12.79
95.9,12.3,98,12.79,99,12.79,98,12.79
46.1,12.3,99,12.79,98,12.79,99,12.79
97.1,12.2,98,12.79,98,12.79,98,12.79
54.8,12.3,98,12.79,96,12.79,99,12.79
97.6,12.2,95,12.79,98,12.79,98,12.79
59.4,12.3,98,12.79,98,12.79,99,12.79
93.9,12.3,98,12.79,99,12.79,96,12.79
47.5,12.2,99,12.79,99,12.79,99,12.79
93.4,12.2,98,12.79,97,12.79,98,12.79
58.5,12.3,96,12.79,98,12.79,99,12.79
25.9,12.3,98,12.79,97,12.79,98,12.79
46.3,12.3,98,12.79,98,12.79,98,12.79
71.4,12.3,93,12.79,98,12.79,99,12.79
53.5,12.3,98,12.79,99,12.79,98,12.79
93.6,12.3,98,12.79,98,12.79,98,12.79
56.7,12.3,99,12.79,0,12.79,0,12.79
94.1,10.9,0,12.79,0,12.79,0,12.79
78.1,11.3,0,12.79,0,12.79,0,12.79
88.3,11.7,0,12.79,0,12.79,0,12.79
89.3,12.2,0,12.79,99,12.79,99,12.79
27.1,12.2,99,12.79,98,12.79,95,12.79
33.7,12.2,98,12.79,98,12.79,98,12.79
49.8,12.3,99,12.79,98,12.79,98,12.79
55.8,12.3,98,12.79,96,12.79,99,12.79
95.0,12.2,98,12.79,98,12.79,98,12.79
55.8,12.3,98,12.79,97,12.79,98,12.79
92.9,12.3,98,12.79,98,12.79,98,12.79
57.7,12.3,99,12.79,99,12.79,96,12.79
94.4,12.3,97,12.79,97,12.79,98,12.79
55.8,12.3,98,12.79,98,12.79,97,12.79
94.6,12.2,98,12.79,98,12.79,99,12.79
56.6,12.2,98,12.79,97,12.79,98,12.79
95.1,12.2,98,12.79,97,12.79,99,12.79
59.0,12.3,99,12.79,99,12.79,98,12.79
94.6,12.3,99,12.79,97,12.79,96,12.79
51.4,12.3,96,12.79,99,12.79,99,12.79
92.3,12.3,97,12.79,98,12.79,98,12.79
59.4,12.3,98,12.79,99,12.79,97,12.79
89.8,12.3,97,12.79,98,12.79,96,12.79
57.1,12.3,99,12.79,99,12.79,97,12.79
80.8,12.2,99,12.79,98,12.79,98,12.79
57.6,12.3,97,12.79,99,12.79,98,12.79
94.9,12.3,97,12.79,96,12.79,97,12.79
56.8,12.3,98,12.79,98,12.79,97,12.79
92.9,12.3,97,12.79,98,12.79,98,12.79
56.2,12.3,99,12.79,98,12.79,99,12.79
92.5,12.3,98,12.79,99,12.79,98,12.79
58.2,12.3,99,12.79,98,12.79,97,12.79
91.0,12.3,97,12.79,99,12.79,99,12.79
25.6,12.3,99,12.79,97,12.79,98,12.79
30.8,12.3,97,12.79,99,12.79,99,12.79
26.2,12.3,95,12.79,97,12.79,98,12.79
52.1,12.3,96,12.79,99,12.79,99,12.79
94.0,12.3,97,12.79,97,12.79,99,12.79
55.8,12.3,96,12.79,98,12.79,99,12.79
92.5,12.3,98,12.79,98,12.79,98,12.79
55.3,12.3,99,12.79,99,12.79,98,12.79
94.3,12.3,98,12.79,98,12.79,98,12.79
50.8,12.3,98,12.79,97,12.79,98,12.79
50.9,12.3,99,12.79,97,12.79,98,12.79
50.0,12.3,0,12.79,0,12.79,0,12.79
27.3,10.9,0,12.79,0,12.79,0,12.79
93.0,11.4,0,12.79,0,12.79,0,12.79
57.8,11.8,0,12.79,0,12.79,36,12.79
85.9,12.3,98,12.79,98,12.79,98,12.79
53.3,12.2,97,12.79,98,12.79,97,12.79
87.4,12.2,91,12.79,82,12.79,84,12.79
98.1,12.4,97,12.79,92,12.79,87,12.79
99.1,12.4,97,12.79,93,12.79,96,12.79
47.2,12.4,98,12.79,98,12.79,99,12.79
94.5,12.4,96,12.79,96,12.79,98,12.79
46.7,12.3,99,12.79,96,12.79,98,12.79
99.6,12.4,97,12.79,97,12.79,97,12.79
18.0,12.4,99,12.79,99,12.79,98,12.79
95.8,12.4,99,12.79,98,12.79,98,12.79
27.0,12.4,96,12.79,98,12.79,98,12.79
96.2,12.3,98,12.79,99,12.79,97,12.79
51.3,12.3,99,12.79,97,12.79,98,12.79
95.4,12.3,99,12.79,97,12.79,99,12.79
57.0,12.3,98,12.79,98,12.79,97,12.79
92.0,12.3,98,12.79,99,12.79,99,12.79
28.9,12.3,99,12.79,98,12.79,98,12.79
95.8,12.3,98,12.79,97,12.79,99,12.79
99.2,12.2,99,12.79,98,12.79,99,12.79
93.0,12.2,98,12.79,98,12.79,97,12.79
58.8,12.3,97,12.79,97,12.79,98,12.79
91.2,12.3,97,12.79,98,12.79,98,12.79
58.3,12.3,99,12.79,99,12.79,96,12.79
87.8,12.3,99,12.79,98,12.79,97,12.79
26.6,12.3,98,12.79,98,12.79,98,12.79
90.9,12.3,99,12.79,95,12.79,99,12.79
27.4,12.3,99,12.79,99,12.79,98,12.79
89.9,12.3,98,12.79,98,12.79,98,12.79
26.3,12.3,98,12.79,97,12.79,97,12.79
88.7,12.3,98,12.79,97,12.79,99,12.79
28.0,12.3,96,12.79,98,12.79,98,12.79
92.7,12.3,97,12.79,99,12.79,99,12.79
26.7,12.3,97,12.79,97,12.79,99,12.79
91.1,12.2,99,12.79,98,12.79,99,12.79
24.9,12.2,99,12.79,98,12.79,98,12.79
32.3,12.3,96,12.79,99,12.79,96,12.79
27.9,12.3,99,12.79,98,12.79,98,12.79
57.1,12.3,98,12.79,97,12.79,99,12.79
94.0,12.2,98,12.79,98,12.79,98,12.79
56.1,12.3,97,12.79,0,12.79,32,1.27
86.5,6.3,0,1.27,0,1.27,0,1.27
1217.38
