cpu_util,mem_util,gpu_util0,gmem_util0,gpu_util1,gmem_util1,gpu_util2,gmem_util2,gpu_util3,gmem_util3
79.0,15.0,19,33.74,0,1.27,0,22.67,0,1.27
53.6,15.4,3,33.74,0,1.27,84,22.67,0,1.27
90.0,16.7,3,33.74,0,1.27,88,22.67,0,1.27
53.4,16.2,16,33.74,0,1.27,71,22.67,0,1.27
49.3,15.7,15,25.57,0,1.27,38,22.67,0,1.27
58.1,13.6,29,25.57,0,1.27,0,22.67,0,1.27
91.9,13.3,5,25.57,0,1.27,0,22.67,0,1.27
24.2,13.4,24,25.57,0,1.27,0,22.67,0,1.27
38.6,13.9,28,17.5,0,1.27,67,22.67,0,1.27
96.1,13.9,33,17.5,0,1.27,96,22.67,0,1.27
61.5,13.5,35,17.5,3,7.11,83,22.67,0,1.27
61.4,16.0,28,17.5,4,13.07,36,22.67,0,1.27
62.1,16.3,33,17.5,9,20.24,0,22.67,0,1.27
58.2,16.4,36,17.5,5,26.59,0,22.67,0,1.27
54.0,17.5,33,17.5,4,32.42,0,22.67,0,1.27
91.2,19.4,23,17.5,5,33.63,82,22.67,0,1.27
48.6,19.3,37,17.5,1,33.74,77,22.67,0,1.27
98.1,18.5,32,17.5,10,33.74,11,22.67,0,1.27
67.2,18.2,5,17.5,5,33.74,65,22.67,0,1.27
52.2,18.5,31,17.5,9,33.74,43,22.67,0,1.27
61.6,18.2,14,17.5,5,33.74,0,22.67,0,1.27
52.5,17.9,27,17.5,1,33.74,0,22.67,0,1.27
67.3,17.9,14,17.5,14,33.74,0,22.67,0,1.27
21.8,18.3,29,17.5,0,33.74,0,22.67,0,1.27
78.9,18.2,16,17.5,4,33.74,66,22.67,0,1.27
61.4,19.0,24,17.5,3,33.74,81,22.67,0,1.27
76.8,19.2,25,17.5,2,33.74,9,22.67,0,1.27
74.5,17.0,13,9.38,4,33.74,67,22.67,0,1.27
42.9,16.7,27,9.38,17,33.74,95,22.67,0,1.27
58.7,16.7,8,9.38,6,33.74,20,22.67,0,1.27
83.5,16.7,2,9.38,5,33.74,14,22.67,0,1.27
31.0,18.6,31,9.38,15,33.74,0,22.67,0,1.27
57.7,16.2,3,9.38,4,33.74,0,22.67,0,1.27
59.9,16.3,12,9.38,17,33.74,0,22.67,0,1.27
57.5,16.9,28,9.38,3,33.74,0,22.67,0,1.27
65.3,16.6,7,9.38,7,33.74,11,22.67,0,1.27
93.9,18.8,24,9.38,7,33.74,79,22.67,0,1.27
36.5,17.0,25,9.38,12,33.74,20,22.67,0,1.27
45.3,16.7,15,9.38,4,33.74,76,22.67,0,1.27
80.0,16.7,11,9.38,4,33.74,47,22.67,0,1.27
85.3,15.5,0,1.27,9,33.74,39,22.67,0,1.27
63.0,15.0,0,1.27,11,33.66,0,22.67,0,1.27
80.5,13.1,0,1.27,2,25.67,0,22.67,0,1.27
96.8,14.2,0,1.27,28,25.67,0,22.67,0,1.27
58.9,13.7,0,1.27,4,25.67,27,22.67,0,1.27
59.2,13.5,0,1.27,7,25.67,83,22.67,0,1.27
8.9,14.4,0,1.27,19,25.67,24,22.67,0,1.27
58.9,13.5,0,1.27,0,25.67,38,22.67,0,1.27
32.3,13.7,0,1.27,34,17.5,85,22.67,0,1.27
55.8,11.9,0,1.27,2,17.5,8,22.67,0,1.27
93.7,12.3,0,1.27,30,17.5,96,22.67,0,1.27
61.8,13.0,0,1.27,11,17.5,11,22.67,0,1.27
44.3,12.6,11,4.22,33,17.5,74,10.97,0,1.27
32.5,13.4,1,10.14,32,17.5,70,10.97,0,1.27
58.0,12.3,0,10.14,20,17.5,32,10.97,0,1.27
57.7,12.5,0,10.14,19,17.5,46,10.97,0,1.27
8.7,13.8,0,10.14,30,17.5,5,10.97,0,1.27
58.8,12.9,2,13.62,12,17.5,6,10.97,0,1.27
53.0,13.3,3,16.23,25,17.5,0,1.27,0,1.27
13.0,12.4,0,20.42,3,17.5,0,1.27,0,1.27
56.3,12.5,0,20.42,1,17.5,0,1.27,0,1.27
55.7,12.8,0,20.42,37,17.5,0,1.27,0,1.27
56.2,12.8,0,20.42,2,17.5,0,1.27,0,1.27
56.3,12.8,0,20.42,18,17.5,0,1.27,0,1.27
7.6,13.1,3,24.15,35,17.5,0,1.27,0,1.27
23.0,14.3,7,30.26,13,17.5,0,1.27,0,1.27
57.2,14.3,0,31.17,14,17.5,0,1.27,0,1.27
56.1,14.3,0,31.17,16,17.5,0,1.27,0,1.27
55.7,15.5,0,31.17,32,9.38,0,1.27,0,1.27
55.5,13.1,0,31.17,6,9.38,0,1.27,0,1.27
55.9,13.1,0,31.17,5,9.38,0,1.27,0,1.27
17.2,13.2,0,33.1,30,9.38,0,1.27,0,1.27
56.1,14.1,3,38.34,13,9.38,0,1.27,0,1.27
55.0,14.5,0,41.7,20,9.38,0,1.27,0,1.27
33.0,14.6,0,41.7,33,9.38,0,1.27,0,1.27
55.1,15.7,0,41.7,2,9.38,0,1.27,0,1.27
54.9,14.9,0,41.7,1,9.38,0,1.27,0,1.27
40.9,14.9,0,41.7,29,9.38,0,1.27,0,1.27
54.6,15.5,0,47.27,30,9.38,0,1.27,0,1.27
39.1,16.1,91,47.27,30,9.38,0,1.27,0,1.27
57.1,15.8,85,47.27,32,9.38,0,1.27,0,1.27
8.5,16.3,100,47.27,31,9.38,0,1.27,0,1.27
50.9,16.2,94,47.27,29,9.38,0,1.27,0,1.27
58.0,15.2,73,47.27,32,9.38,0,1.27,0,1.27
57.3,16.8,87,47.27,33,9.38,0,1.27,0,1.27
49.7,15.4,100,47.27,30,9.38,0,1.27,0,1.27
57.1,17.2,93,47.27,32,9.38,0,1.27,0,1.27
40.5,15.2,73,47.27,29,9.38,0,1.27,0,1.27
57.0,16.7,76,47.27,34,9.38,0,1.27,0,1.27
8.5,16.0,100,47.27,31,9.38,0,1.27,0,1.27
54.6,16.2,94,47.27,30,9.38,0,1.27,0,1.27
35.5,15.2,81,47.27,23,9.38,0,1.27,0,1.27
26.8,15.4,82,47.27,36,9.38,0,1.27,0,1.27
27.0,16.6,0,47.27,32,9.38,0,1.27,0,1.27
6.3,15.3,0,47.27,29,9.38,0,1.27,0,1.27
20.0,15.4,86,47.27,30,9.38,0,1.27,0,1.27
16.0,15.2,94,47.27,30,9.38,0,1.27,0,1.27
