ave_cpu_allocate, ave_mem_allocate, ave_gpu_allocate, ave_gmem_allocate, idel_gpu_num, job_not_start_num, job_dealing_num
 0.4375,0.8203125,1.4,0.0,1,80,7
 0.4375,0.8203125,1.4,0.0,1,80,7
 0.4375,0.8203125,1.4,0.0,1,80,7
 0.4375,0.8203125,1.4,0.0,1,80,7
 0.4375,0.8203125,1.4,0.0,1,80,7
 0.375,0.703125,1.2,0.0,2,80,6
 0.3125,0.5859375,1.0,0.0,2,80,5
 0.3125,0.5859375,1.0,0.0,2,80,5
 0.25,0.46875,0.8,0.0,2,80,4
 0.5,0.9375,1.6,0.0,1,76,8
 0.4375,0.8203125,1.4,0.0,1,76,7
 0.4375,0.8203125,1.4,0.0,1,76,7
 0.375,0.703125,1.2,0.0,2,76,6
 0.375,0.703125,1.2,0.0,2,76,6
 0.375,0.703125,1.2,0.0,2,76,6
 0.375,0.703125,1.2,0.0,2,76,6
 0.3125,0.5859375,1.0,0.0,2,76,5
 0.3125,0.5859375,1.0,0.0,2,76,5
 0.3125,0.5859375,1.0,0.0,2,76,5
 0.3125,0.5859375,1.0,0.0,2,76,5
 0.3125,0.5859375,1.0,0.0,2,76,5
 0.3125,0.5859375,1.0,0.0,2,76,5
 0.3125,0.5859375,1.0,0.0,2,76,5
 0.3125,0.5859375,1.0,0.0,2,76,5
 0.3125,0.5859375,1.0,0.0,2,76,5
 0.3125,0.5859375,1.0,0.0,2,76,5
 0.3125,0.5859375,1.0,0.0,2,76,5
 
