cpu_util,mem_util,gpu_util0,gmem_util0,gpu_util1,gmem_util1,gpu_util2,gmem_util2
55.3,12.3,97,12.97,98,12.97,0,12.98
98.4,11.4,0,12.97,0,12.97,0,12.98
65.8,10.9,0,12.97,0,12.97,0,12.98
94.2,11.6,0,12.97,0,12.97,0,12.98
43.3,12.1,0,12.97,0,12.97,98,12.98
27.7,12.4,99,12.97,98,12.97,98,12.98
95.0,12.4,99,12.97,98,12.97,97,12.98
29.4,12.3,98,12.97,98,12.97,98,12.98
44.9,12.3,99,12.97,98,12.97,99,12.98
30.8,12.4,98,12.97,98,12.97,98,12.98
67.7,12.4,97,12.97,98,12.97,98,12.98
28.1,12.3,92,12.97,99,12.97,99,12.98
95.3,12.3,99,12.97,98,12.97,99,12.98
29.1,12.3,98,12.97,97,12.97,98,12.98
65.8,12.4,98,12.97,97,12.97,98,12.98
30.1,12.3,99,12.97,0,12.97,0,12.98
92.7,10.9,0,12.97,0,12.97,0,12.98
77.0,11.3,0,12.97,0,12.97,0,12.98
90.4,11.8,0,12.97,0,12.97,0,12.98
57.8,12.4,99,12.97,98,12.97,99,12.98
93.2,12.5,98,12.97,96,12.97,98,12.98
55.6,12.5,98,12.97,98,12.97,99,12.98
95.1,12.4,99,12.97,99,12.97,98,12.98
46.1,12.4,99,12.97,99,12.97,98,12.98
30.0,12.4,97,12.97,98,12.97,99,12.98
88.1,12.4,99,12.97,99,12.97,97,12.98
28.4,12.3,98,12.97,98,12.97,97,12.98
92.8,12.4,99,12.97,98,12.97,99,12.98
29.6,12.4,96,12.97,98,12.97,97,12.98
38.7,12.3,98,12.97,98,12.97,0,12.98
27.1,10.6,0,12.97,0,12.97,0,12.98
93.4,11.1,0,12.97,0,12.97,0,12.98
91.6,11.7,0,12.97,0,12.97,0,12.98
92.0,12.1,0,12.97,54,12.97,99,12.98
60.8,12.3,99,12.97,99,12.97,96,12.98
98.7,12.3,95,12.97,96,12.97,90,12.98
98.5,12.4,95,12.97,81,12.97,82,12.98
98.6,12.6,95,12.97,97,12.97,98,12.98
99.3,12.6,97,12.97,87,12.97,98,12.98
52.2,12.6,96,12.97,98,12.97,99,12.98
28.5,12.4,98,12.97,99,12.97,98,12.98
57.5,12.4,99,12.97,96,12.97,99,12.98
97.2,12.4,96,12.97,99,12.97,98,12.98
29.2,12.4,95,12.97,99,12.97,98,12.98
91.5,12.4,95,12.97,0,12.97,0,12.98
25.2,10.9,0,12.97,0,12.97,0,12.98
95.4,11.3,0,12.97,0,12.97,0,12.98
59.3,11.8,0,12.97,0,12.97,0,12.98
93.5,12.3,0,12.97,98,12.97,99,12.98
59.3,12.3,97,12.97,99,12.97,99,12.98
96.3,12.4,95,12.97,97,12.97,97,12.98
62.1,12.3,99,12.97,99,12.97,98,12.98
96.1,12.3,97,12.97,98,12.97,99,12.98
54.5,12.3,97,12.97,98,12.97,98,12.98
83.5,12.3,97,12.97,98,12.97,98,12.98
56.8,12.3,97,12.97,98,12.97,98,12.98
92.9,12.3,98,12.97,98,12.97,99,12.98
54.8,12.4,95,12.97,98,12.97,98,12.98
94.9,12.3,97,12.97,99,12.97,97,12.98
79.4,12.2,0,12.97,0,12.97,0,12.98
94.3,11.0,0,12.97,0,12.97,0,12.98
63.8,11.5,0,12.97,0,12.97,0,12.98
96.3,12.0,0,12.97,0,12.97,97,12.98
91.0,12.4,97,12.97,98,12.97,98,12.98
29.3,12.4,98,12.97,98,12.97,98,12.98
61.8,12.4,99,12.97,98,12.97,98,12.98
28.3,12.4,99,12.97,98,12.97,98,12.98
66.0,12.3,98,12.97,98,12.97,98,12.98
28.9,12.4,98,12.97,98,12.97,99,12.98
93.3,12.3,97,12.97,98,12.97,98,12.98
29.1,12.3,99,12.97,98,12.97,99,12.98
93.5,12.3,99,12.97,98,12.97,99,12.98
63.1,12.3,98,12.97,99,12.97,98,12.98
91.0,12.3,96,12.97,0,12.91,0,1.27
395.67
